#Tas,ClassNum,QuarterYear,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,Assn1,Assn2,Assn3,Assn4,Assn5,Assn6,Assn7,Assn8,Assn9,Assn10,MidtermDate1,MidtermDate2,FinalsDate,QueueStatus,NumStudents,InstructorRating,AvgHrsSpent,ProportionFrosh,ProportionGrads,ProportionPhDs
13,CS107,Spring2017,4/3/17,4/10/17,4/17/17,4/24/17,5/1/17,5/8/17,5/15/17,5/22/17,5/29/17,6/5/17,6/12/17,4/11/17,4/18/17,4/26/17,5/8/17,5/15/17,5/27/17,6/9/17,4/20/30,4/20/30,4/20/30,4/28/17,5/25/17,6/14/17,83,184,4.3,16.35,0.29,0.14,0.05
16,CS107,Autumn2017,9/25/17,10/2/17,10/9/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,11/27/17,12/4/17,12/11/17,10/1/17,10/8/17,10/15/17,10/22/17,10/29/17,11/9/17,11/27/17,4/20/30,4/20/30,4/20/30,11/3/17,4/20/30,12/13/17,139,172,4.1,16.35,0.29,0.14,0.05
13,CS107,Winter2018,1/8/18,1/15/18,1/22/18,1/29/18,2/5/18,2/12/18,2/19/18,2/26/18,3/5/18,3/12/18,3/19/18,1/17/18,1/24/18,2/1/18,2/13/18,2/20/18,3/4/18,3/17/18,4/20/30,4/20/30,4/20/30,3/1/18,4/20/30,3/21/18,171,206,4.7,16.35,0.29,0.14,0.05
13,CS107,Spring2018,4/2/18,4/9/18,4/16/18,4/23/18,4/30/18,5/7/18,5/14/18,5/21/18,5/28/18,6/4/18,6/11/18,4/11/18,4/18/18,4/26/18,5/8/18,5/15/18,5/27/18,6/9/18,4/20/30,4/20/30,4/20/30,4/28/18,5/25/18,6/14/18,196,202,4.4,16.35,0.29,0.14,0.05
11,CS107,Autumn2018,9/24/18,10/1/18,10/8/18,10/15/18,10/22/18,10/29/18,11/5/18,11/12/18,11/26/18,12/3/18,12/10/18,10/1/18,10/8/18,10/15/18,10/22/18,10/29/18,11/9/18,11/27/18,4/20/30,4/20/30,4/20/30,11/2/18,4/20/30,12/14/18,261,220,4.5,16.35,0.29,0.14,0.05
6,CS161,Spring2017,4/3/17,4/10/17,4/17/17,4/24/17,5/1/17,5/8/17,5/15/17,5/22/17,5/29/17,6/5/17,6/12/17,4/14/17,4/21/17,4/28/17,5/8/17,5/19/17,5/26/17,6/2/17,4/20/30,4/20/30,4/20/30,5/3/17,4/20/30,6/9/17,94,93,4,10.12,0.04,0.27,0.08
6,CS161,Autumn2017,9/25/17,10/2/17,10/9/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,11/27/17,12/4/17,12/11/17,10/6/17,10/13/17,10/20/17,10/27/17,11/10/17,11/19/17,12/1/17,4/20/30,4/20/30,4/20/30,10/30/17,4/20/30,12/13/17,130,64,4.5,10.12,0.04,0.27,0.08
20,CS110,Spring2018,4/2/18,4/9/18,4/16/18,4/23/18,4/30/18,5/7/18,5/14/18,5/21/18,5/28/18,6/4/18,6/11/18,4/12/18,4/19/18,5/1/18,5/10/18,5/17/18,5/24/18,6/1/18,6/7/18,4/20/30,4/20/30,5/11/18,4/20/30,6/11/18,203,187,4.5,16.6,0.08,0.18,0.02
9,CS110,Autumn2018,9/24/18,10/1/18,10/8/18,10/15/18,10/22/18,10/29/18,11/5/18,11/12/18,11/26/18,12/3/18,12/10/18,10/3/18,10/10/18,10/21/18,10/30/18,11/7/18,11/14/18,11/29/18,12/6/18,4/20/30,4/20/30,11/1/18,4/20/30,12/13/18,262,116,4.5,16.6,0.08,0.18,0.02
17,CS229,Autumn2018,9/24/18,10/1/18,10/8/18,10/15/18,10/22/18,10/29/18,11/5/18,11/12/18,11/26/18,12/3/18,12/10/18,10/17/18,10/31/18,11/14/18,12/5/18,4/20/30,4/20/30,4/20/30,4/20/30,4/20/30,4/20/30,11/7/18,11/8/18,4/20/30,251,634,4.1,15.3,0.04,0.49,0.21