,sign_ups,serves,servers,average_wait_time,average_serve_time,day,avgDayServeTime,loadInflux,daysAfterPrevAssnDue,daysUntilNextAssnDue,daysTilExam,weekNum,hourOfDay,monday,tuesday,wednesday,thursday,friday,saturday,sunday,morning,noon,afternoon,evening,L10daysAfterPrevAssnDue,L5daysAfterPrevAssnDue,L3daysAfterPrevAssnDue,L1daysAfterPrevAssnDue,L10daysUntilNextAssnDue,L5daysUntilNextAssnDue,L3daysUntilNextAssnDue,L1daysUntilNextAssnDue,L10daysTilExam,L5daysTilExam,L3daysTilExam,L1daysTilExam,isFirstOHWithinLastThreeHour,isFirstOHWithinLastSixHour,isLastOHWithinNextThreeHour,isLastOHWithinNextSixHour,NumStudents,InstructorRating,AvgHrsSpent,ProportionFrosh,ProportionGrads,ProportionPhDs
1/16/18 13:00,18,12,2,15,4,2,2.5,45,-1,3,62,2,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
1/16/18 14:00,15,21,2,5,1,2,2.5,37.5,-1,3,62,2,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
1/17/18 19:00,37,15,2,25,7,3,4.333333333,160.3333333,-1,2,61,2,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
1/17/18 20:00,28,32,2,25,3,3,4.333333333,121.3333333,-1,2,61,2,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
1/17/18 21:00,13,19,2,16,3,3,4.333333333,56.33333333,-1,2,61,2,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
1/18/18 17:00,3,0,0,4,0,4,4,12,-1,1,60,2,17,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
1/18/18 18:00,21,16,3,14,7,4,4,84,-1,1,60,2,18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
1/18/18 19:00,24,26,3,7,3,4,4,96,-1,1,60,2,19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
1/18/18 20:00,0,4,1,0,2,4,4,0,-1,1,60,2,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
1/23/18 13:00,8,5,2,25,10,2,10,80,4,3,55,3,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
1/23/18 14:00,2,5,2,6,0,2,10,20,4,3,55,3,14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
1/24/18 19:00,23,11,2,23,7,3,6,138,5,2,54,3,19,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
1/24/18 20:00,26,21,2,21,5,3,6,156,5,2,54,3,20,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
1/24/18 21:00,25,20,2,28,4,3,6,150,5,2,54,3,21,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
1/24/18 22:00,1,6,2,0,8,3,6,6,5,2,54,3,22,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
1/25/18 17:00,5,0,2,2,2,4,6,30,6,1,53,3,17,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
1/25/18 18:00,31,21,3,19,8,4,6,186,6,1,53,3,18,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
1/25/18 19:00,12,21,3,31,8,4,6,72,6,1,53,3,19,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
1/25/18 20:00,0,5,3,0,0,4,6,0,6,1,53,3,20,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
1/30/18 13:00,11,5,3,9,13,2,9,99,4,2,48,4,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
1/30/18 14:00,8,13,3,2,5,2,9,72,4,2,48,4,14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
1/31/18 19:00,23,12,3,13,9,3,7,161,5,1,47,4,19,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
1/31/18 20:00,17,15,3,14,7,3,7,119,5,1,47,4,20,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
1/31/18 21:00,15,20,3,17,5,3,7,105,5,1,47,4,21,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
2/1/18 18:00,22,14,3,17,6,4,5,110,6,0,46,4,18,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
2/1/18 19:00,14,17,3,10,4,4,5,70,6,0,46,4,19,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
2/1/18 20:00,0,2,1,0,0,4,5,0,6,0,46,4,20,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
2/6/18 13:00,12,9,3,4,4,2,3,36,5,3,41,5,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
2/6/18 14:00,12,14,3,147,2,2,3,36,5,3,41,5,14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
2/7/18 18:00,7,0,2,5,2,3,3.75,26.25,6,2,40,5,18,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
2/7/18 19:00,20,19,3,19,6,3,3.75,75,6,2,40,5,19,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
2/7/18 20:00,23,24,3,8,2,3,3.75,86.25,6,2,40,5,20,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
2/7/18 21:00,16,20,3,7,5,3,3.75,60,6,2,40,5,21,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
2/8/18 18:00,30,18,3,12,9,4,11,330,7,1,39,5,18,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
2/8/18 19:00,12,9,3,28,13,4,11,132,7,1,39,5,19,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
2/8/18 20:00,1,0,0,0,0,4,11,11,7,1,39,5,20,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
2/13/18 13:00,9,3,1,1185,0,2,100,900,4,3,34,6,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
2/13/18 14:00,2,0,0,1715,0,2,100,200,4,3,34,6,14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
2/14/18 18:00,1,8,1,0,2,3,4.25,4.25,5,2,33,6,18,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
2/14/18 19:00,6,6,1,13,4,3,4.25,25.5,5,2,33,6,19,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
2/14/18 20:00,15,8,1,15,3,3,4.25,63.75,5,2,33,6,20,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
2/14/18 21:00,18,13,2,11,8,3,4.25,76.5,5,2,33,6,21,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
2/14/18 22:00,1,2,1,0,0,3,4.25,4.25,5,2,33,6,22,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
2/15/18 17:00,6,0,1,9,2,4,8.25,49.5,6,1,32,6,17,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
2/15/18 18:00,24,9,2,48,13,4,8.25,198,6,1,32,6,18,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
2/15/18 19:00,5,19,2,32,6,4,8.25,41.25,6,1,32,6,19,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
2/15/18 20:00,0,4,1,0,12,4,8.25,0,6,1,32,6,20,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
2/20/18 13:00,1,0,1,0,35,2,35,35,4,7,27,7,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
2/20/18 14:00,1,1,0,0,0,2,35,35,4,7,27,7,14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
2/21/18 19:00,2,2,1,2,3,3,2,4,5,6,26,7,19,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
2/21/18 20:00,2,2,1,2,1,3,2,4,5,6,26,7,20,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
2/21/18 21:00,2,1,1,29,0,3,2,4,5,6,26,7,21,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
2/27/18 13:00,15,11,4,1,6,2,7,105,11,0,20,8,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
2/27/18 14:00,20,18,4,2,8,2,7,140,11,0,20,8,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
2/28/18 17:00,4,4,1,6,6,3,7.75,31,1,6,19,8,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
2/28/18 18:00,4,2,1,5,0,3,7.75,31,1,6,19,8,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
2/28/18 19:00,13,11,3,4,5,3,7.75,100.75,1,6,19,8,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
2/28/18 20:00,13,8,2,4,15,3,7.75,100.75,1,6,19,8,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
2/28/18 21:00,14,19,2,8,5,3,7.75,108.5,1,6,19,8,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04
3/1/18 14:00,2,0,0,1,0,4,7,14,2,5,18,8,14,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,205,4.5,8.8,0.02,0.2,0.04
3/1/18 15:00,36,26,4,12,9,4,7,252,2,5,18,8,15,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,205,4.5,8.8,0.02,0.2,0.04
3/1/18 16:00,9,16,4,1,5,4,7,63,2,5,18,8,16,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,205,4.5,8.8,0.02,0.2,0.04